Size,Time,L1_DCM,L2_DCM,Energy(J)
1000,0.958,126455388,254973858,16.103
1000,1.030,128297737,255143490,24.763
1000,0.853,126700880,256213094,16.565
1000,0.781,126012720,257269222,12.539
1000,0.788,126112776,257275834,12.853
1400,2.170,347748507,700968495,34.934
1400,2.175,347741172,700751200,34.875
1400,2.169,348119937,700587673,34.408
1400,2.204,349485496,701439651,37.248
1400,2.174,348228464,701237475,35.801
2000,6.324,1052635004,2072822002,111.926
2000,6.481,1052677310,2052652929,114.689
2000,6.336,1051282123,2030249925,112.755
2000,6.368,1055647399,2031449803,113.418
2000,6.387,1055944981,2030969621,115.085
1000,0.789,125947057,251479617,14.420
1000,0.790,126004056,251221609,14.384
1000,0.786,125911268,250904399,14.341
1000,0.786,125932088,251137285,14.302
1000,0.786,125931062,251104824,14.322
1400,2.178,347902730,687021201,38.673
1400,2.282,348047415,689090498,38.038
1400,2.189,348741494,701668713,39.006
1400,2.186,348915163,701242297,39.735
1400,2.173,347742328,701006868,38.615
2000,6.349,1051606882,2071914836,113.459
2000,6.319,1048426569,2071952702,111.446
2000,6.402,1064052706,2074966809,113.990
2000,6.459,1059311328,2069618164,111.153
2000,6.736,1065100596,2026376190,122.224
