Size,Time,L1_DCM,L2_DCM,FP_OPS,TOT_INS,TLB_DM,Energy(J)
1000,2.059,1219578914,323320211,7009036541,-2043823239350104320,140721984325488,28.113
1000,1.841,1217371363,251764909,7009030118,-2043823239350104320,140721984325488,26.540
1000,1.837,1217337575,252207658,7009028232,-2043823239350104320,140721984325488,27.010
1000,1.849,1217275283,251232342,7009028282,-2043823239350104320,140721984325488,27.530
1000,1.824,1217520406,253844490,7009028188,-2043823239350104320,140721984325488,27.117
1400,5.108,3490605755,1678563907,19225695696,-2043823239350104320,140721984325488,76.631
1400,5.057,3499412104,1442112502,19225695552,-2043823239350104320,140721984325488,75.866
1400,5.048,3499714957,1453762284,19225695421,-2043823239350104320,140721984325488,75.084
1400,5.026,3499487223,1513744358,19225695539,-2043823239350104320,140721984325488,74.931
1400,5.145,3499534923,1616496927,19225695595,-2043823239350104320,140721984325488,77.738
2000,35.564,12579052957,16636579302,56036234278,-2043823239350104320,140721984325488,505.112
2000,36.249,12653347548,16528090470,56036237627,-2043823239350104320,140721984325488,517.083
2000,36.124,12653395307,16229972194,56036235899,-2043823239350104320,140721984325488,512.362
2000,36.305,12653374743,16818784432,56036237156,-2043823239350104320,140721984325488,515.344
2000,36.039,12653640830,16251296466,56036236730,-2043823239350104320,140721984325488,515.751
1000,1.025,125941408,268362725,8008028772,-2043823239350104320,140721984325488,17.103
1000,1.042,125760699,268449556,8008024848,-2043823239350104320,140721984325488,17.313
1000,1.024,125813865,268106566,8008024943,-2043823239350104320,140721984325488,17.319
1000,1.020,125757047,268417026,8008024827,-2043823239350104320,140721984325488,16.703
1000,1.032,125748923,268120303,8008024891,-2043823239350104320,140721984325488,17.352
1400,2.842,346629785,736651229,21967728977,-2043823239350104320,140721984325488,47.677
1400,2.876,346766398,737109772,21967721188,-2043823239350104320,140721984325488,47.722
1400,2.830,347342455,737714212,21967721143,-2043823239350104320,140721984325488,47.564
1400,2.837,346474156,737127855,21967721176,-2043823239350104320,140721984325488,47.467
1400,2.816,346435041,737108893,21967721320,-2043823239350104320,140721984325488,47.774
2000,8.475,1040004343,2182372115,64032096421,-2043823239350104320,140721984325488,141.354
2000,8.389,1039632955,2181556932,64032096314,-2043823239350104320,140721984325488,141.017
2000,8.403,1038634170,2182209584,64032096807,-2043823239350104320,140721984325488,140.000
2000,8.387,1038856665,2181705643,64032097106,-2043823239350104320,140721984325488,139.857
2000,8.539,1040260840,2145632819,64032096738,-2043823239350104320,140721984325488,139.402
